"source","target","context","translator_comments","developer_comments"
"friend reference","référence d'ami","","",""
"guest","invité","","",""
"guests","invités","","",""
"Event","","","",""
"blog","","","",""
"Strong verification","","","",""
"host","héberger","","",""
"host","hôte","1","",""
"hosts","hôtes","","",""
"host request","demande d'hébergement","","",""
